Time (s),Channel 1 (V),Channel 2 (V)
0.6321811199999999,2.534456812271919,2.643500741589731
0.63249848,2.527900605850322,2.647243851950428
0.63281584,2.521344399428724,2.649115407130776
0.6331332,2.512914991172384,2.651922739901299
0.63345056,2.505422183833416,2.654730072671822
0.6337679199999999,2.496992775577076,2.65660162785217
0.63408528,2.489499968238107,2.657537405442345
0.63440264,2.482007160899139,2.657537405442345
0.63472,2.47451435356017,2.658473183032519
0.63503736,2.46608494530383,2.657537405442345
0.6353547199999999,2.458592137964862,2.657537405442345
0.63567208,2.451099330625893,2.655665850261996
0.63598944,2.442669922369553,2.654730072671822
0.6363068,2.435177115030585,2.652858517491474
0.63662416,2.427684307691616,2.650051184720951
0.6369415199999999,2.420191500352647,2.646308074360253
0.63725888,2.412698693013679,2.642564963999557
0.63757624,2.406142486592081,2.63882185363886
0.6378935999999999,2.401459482005226,2.635078743278163
0.63821096,2.393966674666257,2.629464077737117
0.6385283199999999,2.38834706916203,2.623849412196072
0.63884568,2.382727463657804,2.618234746655026
0.63916304,2.377107858153578,2.611684303523806
0.6394803999999999,2.374298055401464,2.605133860392587
0.63979776,2.369615050814609,2.598583417261367
0.6401151199999999,2.365868647145124,2.591097196539973
0.64043248,2.36212224347564,2.583610975818579
0.64074984,2.359312440723527,2.57518897750701
0.6410671999999999,2.358375839806156,2.566766979195442
0.64138456,2.355566037054043,2.558344980883875
0.6417019199999999,2.354629436136672,2.549922982572306
0.64201928,2.353692835219301,2.541500984260738
0.64233664,2.354629436136672,2.534014763539344
0.6426539999999999,2.354629436136672,2.524656987637601
0.64297136,2.356502637971414,2.517170766916207
0.6432887199999999,2.358375839806156,2.508748768604639
0.64360608,2.360249041640898,2.501262547883245
0.64392344,2.36212224347564,2.493776327161851
0.6442407999999999,2.365868647145124,2.486290106440457
0.64455816,2.369615050814609,2.478803885719063
0.6448755199999999,2.373361454484093,2.470381887407495
0.64519288,2.377107858153578,2.463831444276275
0.64551024,2.382727463657804,2.457281001145055
0.6458275999999999,2.386473867327288,2.450730558013835
0.64614496,2.392093472831515,2.445115892472789
0.6464623199999999,2.39677647741837,2.43856544934157
0.64677968,2.403332683839968,2.432950783800525
0.64709704,2.408015688426823,2.428271895849654
0.6474143999999999,2.413635293931049,2.423593007898782
0.64773176,2.420191500352647,2.420785675128259
0.6480491199999999,2.425811105856874,2.417042564767562
0.64836648,2.432367312278471,2.413299454406865
0.64868384,2.437986917782698,2.410492121636342
0.6490011999999999,2.443606523286924,2.407684788865819
0.64931856,2.451099330625893,2.405813233685471
0.6496359199999999,2.455782335212748,2.403941678505123
0.64995328,2.462338541634346,2.402070123324775
0.65027064,2.467958147138572,2.400198568144425
0.6505879999999999,2.473577752642799,2.400198568144425
0.65090536,2.478260757229654,2.400198568144425
0.6512227199999999,2.483880362733881,2.400198568144425
0.65154008,2.490436569155478,2.400198568144425
0.65185744,2.496056174659705,2.4011343457346
0.6521747999999999,2.50073917924656,2.4011343457346
0.65249216,2.506358784750787,2.403005900914948
0.6528095199999999,2.511041789337642,2.403941678505123
0.65312688,2.515724793924498,2.405813233685471
0.65344424,2.520407798511353,2.407684788865819
0.6537615999999999,2.525090803098208,2.408620566455994
0.65407896,2.528837206767693,2.411427899226517
0.6543963199999999,2.530710408602435,2.413299454406865
0.65471368,2.53539341318929,2.415171009587214
0.65503104,2.538203215941404,2.417042564767562
0.6553483999999999,2.541013018693517,2.419849897538085
0.65566576,2.54382282144563,2.422657230308608
0.6559831199999999,2.547569225115114,2.425464563079131
0.65630048,2.550379027867228,2.428271895849654
0.65661784,2.551315628784599,2.431079228620176
0.6569351999999999,2.553188830619341,2.433886561390699
0.65725256,2.555998633371454,2.435758116571047
0.6575699199999999,2.557871835206196,2.43856544934157
0.65788728,2.559745037040938,2.441372782112093
0.65820464,2.561618238875681,2.444180114882616
0.6585219999999999,2.561618238875681,2.446987447653139
0.65883936,2.562554839793052,2.448859002833487
0.6591567199999999,2.563491440710423,2.45166633560401
